date,close,volume
2006-08-30,1334.670,21139900.000
2006-08-31,1338.690,23188300.000
2006-09-01,1318.100,25033700.000
2006-09-04,1337.240,21095300.000
2006-09-05,1340.680,26868100.000
2006-09-06,1346.370,23153100.000
2006-09-07,1328.380,21886400.000
2006-09-08,1332.150,17230300.000
2006-09-11,1338.760,20947300.000
2006-09-12,1347.640,27301900.000
2006-09-13,1338.390,32821200.000
2006-09-14,1338.280,22217300.000
2006-09-15,1362.320,36057100.000
2006-09-18,1375.560,31454900.000
2006-09-19,1378.310,26648300.000
2006-09-20,1378.460,23445900.000
2006-09-21,1387.370,26094100.000
2006-09-22,1374.850,28265000.000
2006-09-25,1372.400,24584800.000
2006-09-26,1357.650,19703300.000
2006-09-27,1371.120,17580300.000
2006-09-28,1387.000,21687800.000
2006-09-29,1403.270,27166700.000
2006-10-09,1436.070,39191900.000
2006-10-10,1437.240,38400500.000
2006-10-11,1435.910,31618000.000
2006-10-12,1426.500,37956200.000
2006-10-13,1430.880,28295200.000
2006-10-16,1418.520,28492200.000
2006-10-17,1414.450,24224400.000
2006-10-18,1437.590,24290300.000
2006-10-19,1439.380,23820300.000
2006-10-20,1440.180,26560100.000
2006-10-23,1408.710,28950400.000
2006-10-24,1440.050,26190000.000
2006-10-25,1446.820,32204900.000
2006-10-26,1456.090,38466400.000
2006-10-27,1439.050,37379300.000
2006-10-30,1446.240,35320500.000
2006-10-31,1464.470,36952300.000
2006-11-01,1479.410,38926900.000
2006-11-02,1479.660,42373100.000
2006-11-03,1488.290,39372000.000
2006-11-06,1507.890,42033500.000
2006-11-07,1516.100,43038300.000
2006-11-08,1498.170,28722400.000
2006-11-09,1524.710,34030100.000
2006-11-10,1504.060,53922900.000
2006-11-13,1475.780,41653300.000
2006-11-14,1493.780,36307900.000
2006-11-15,1534.760,40589200.000
2006-11-16,1533.290,57761000.000
2006-11-17,1562.080,44446200.000
2006-11-20,1593.160,53412400.000
2006-11-21,1612.250,48601800.000
2006-11-22,1624.030,57065500.000
2006-11-23,1634.910,51360700.000
2006-11-24,1636.580,49712100.000
2006-11-27,1651.800,47267300.000
2006-11-28,1644.010,44762900.000
2006-11-29,1667.140,45578400.000
2006-11-30,1714.360,60216100.000
